,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price,#VALUE!
6300,650,Borivali,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,17500000,26923.07692
2874,1056,Borivali,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,27500000,26041.66667
6186,500,Borivali,2,0,1,1,0,0,0,1,1,1,0,0,1,0,0,13000000,26000
2875,858,Borivali,2,1,1,1,0,0,1,1,1,1,0,1,0,1,1,22000000,25641.02564
2873,646,Borivali,2,1,1,1,0,0,1,1,1,1,1,0,0,1,1,16500000,25541.79567
3297,750,Borivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000000,25333.33333
2404,1250,Borivali,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31500000,25200
2790,580,Borivali,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,14500000,25000
3383,600,Borivali,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,15000000,25000
5260,580,Borivali,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,14000000,24137.93103
2789,935,Borivali,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,22500000,24064.17112
5165,935,Borivali,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,22500000,24064.17112
5261,500,Borivali,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,12000000,24000
1440,1627,Borivali,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,39000000,23970.49785
2657,712,Borivali,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,17000000,23876.40449
2228,800,Borivali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19100000,23875
2854,675,Borivali,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,16100000,23851.85185
2815,1700,Borivali,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,40000000,23529.41176
3169,1600,Borivali,3,1,1,0,1,0,1,1,1,1,1,0,0,1,1,37500000,23437.5
5481,1800,Borivali,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,42000000,23333.33333
5835,980,Borivali,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,22500000,22959.18367
6028,525,Borivali,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,12000000,22857.14286
258,400,Borivali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9000000,22500
2837,680,Borivali,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0,15200000,22352.94118
887,540,Borivali,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,12000000,22222.22222
917,1423,Borivali,3,1,1,1,1,0,1,0,1,1,1,0,1,1,1,31500000,22136.33169
2498,1200,Borivali,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26500000,22083.33333
5960,1000,Borivali,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22000000,22000
3175,570,Borivali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500000,21929.82456
2699,756,Borivali,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,16500000,21825.39683
5818,372,Borivali,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,8100000,21774.19355
4719,1656,Borivali,3,1,1,1,0,0,1,1,1,1,0,1,1,1,1,36000000,21739.13043
5197,770,Borivali,2,1,1,1,1,0,1,1,0,1,0,0,0,1,1,16700000,21688.31169
6027,925,Borivali,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,20000000,21621.62162
1516,1250,Borivali,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,27000000,21600
3176,1160,Borivali,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000,21551.72414
